,SUCEPTIBLE HOST,INFECTED HOST,SUCEPTIBLE VECTOR 1,SUCEPTIBLE VECTOR 2,SUCEPTIBLE VECTOR 3,SUCEPTIBLE VECTOR 4,SUCEPTIBLE VECTOR 5,SUCEPTIBLE VECTOR 6,INFECTED VECTOR 1,INFECTED VECTOR 2,INFECTED VECTOR 3,INFECTED VECTOR 4,INFECTED VECTOR 5,INFECTED VECTOR 6
324,1002.6866161486579,67.76060621610583,6354.981366031909,7301.583397687482,8364.859695901494,9550.281607988643,0.0,0.0,2094.1761628236554,2172.553937594758,2164.1488475845213,2018.5485077567487,0.0,0.0
325,1002.6933949199738,67.67926096031483,6348.465330533332,7296.7890979503345,8362.330463652506,9550.597868769433,0.0,0.0,2092.310840014672,2171.7733037218927,2164.4528302748763,2019.6854495414652,0.0,0.0
326,1002.70016555351,67.59801335788043,6341.966572566528,7292.008143364711,8359.811302703374,9550.921743944346,0.0,0.0,2090.435728048805,2170.981128326941,2164.7456986248403,2020.8140793067623,0.0,0.0
327,1002.7069280590358,67.51686329157174,6335.4850255023875,7287.24048433105,8357.302178863652,9551.253213837103,0.0,0.0,2088.5509325284984,2170.1774957208168,2165.027508812142,2021.9344248269833,0.0,0.0
328,1002.7136824463086,67.43581064429858,6329.0206230447675,7282.486071479317,8354.803058081228,9551.592258835295,0.0,0.0,2086.6565583005363,2169.3624897354593,2165.29831676825,2023.0465137872652,0.0,0.0
329,1002.7204287250742,67.35485529911138,6322.573299228622,7277.744855667848,8352.313906441716,9551.938859390153,0.0,0.0,2084.7527094608463,2168.5361937263806,2165.5581781794413,2024.1503737838439,0.0,0.0
330,1002.7271669050667,67.27399713920094,6316.14298841815,7273.016787982191,8349.834690167861,9552.292996016322,0.0,0.0,2082.839489359279,2167.6986905751965,2165.807148487863,2025.2460323243602,0.0,0.0
331,1002.7338969960085,67.19323604789832,6309.729625304941,7268.301819733957,8347.36537561894,9552.654649291644,0.0,0.0,2080.917000604355,2166.850062692147,2166.045282892591,2026.3335168281628,0.0,0.0
332,1002.7406190076105,67.11257190867454,6303.3331448855215,7263.599902449829,8344.90592928646,9553.023799855988,0.0,0.0,2078.9853451211266,2165.9903920389447,2166.272636356731,2027.412854627815,0.0,0.0
333,1002.7473329495716,67.0320046051405,6296.95348245901,7258.91098787018,8342.45631779348,9553.400428411016,0.0,0.0,2077.0446241572113,2165.1197601317817,2166.4892636086215,2028.4840729694247,0.0,0.0
334,1002.7540388315795,66.9515340210469,6290.590573675549,7254.235027971927,8340.016507903041,9553.784515722238,0.0,0.0,2075.094938157986,2164.23824799425,2166.695219128137,2029.5471990100154,0.0,0.0
335,1002.7607366633097,66.87116004028397,6284.244354504714,7249.571974953183,8337.586466512235,9554.176042617444,0.0,0.0,2073.1363868479816,2163.3459361891914,2166.890557156467,2030.6022598195618,0.0,0.0
336,1002.7674264544266,66.79088254688133,6277.9147612330735,7244.921781231833,8335.166160651504,9554.574989986453,0.0,0.0,2071.16906923714,2162.442904821784,2167.0753316973355,2031.6492823813255,0.0,0.0
337,1002.7741082145827,66.71070142500787,6271.601730462338,7240.284399444383,8332.75555748404,9554.98133878089,0.0,0.0,2069.1930836255992,2161.5292335420622,2167.249596518057,2032.6882935921574,0.0,0.0
338,1002.7807819534191,66.63061655897144,6265.305199107495,7235.659782444809,8330.354624305206,9555.395070013965,0.0,0.0,2067.2085276084617,2160.605001547427,2167.413405150584,2033.719320262797,0.0,0.0
339,1002.7874476805652,66.55062783321887,6259.025104394961,7231.047883303419,8327.963328541924,9555.81616476026,0.0,0.0,2065.215498080544,2159.670287585149,2167.566810892553,2034.7423891181738,0.0,0.0
340,1002.7941054056388,66.47073513233565,6252.761383860739,7226.448655305708,8325.58163775211,9556.244604155496,0.0,0.0,2063.214091241107,2158.7251699548588,2167.7098668083286,2035.757526797705,0.0,0.0
341,1002.8007551382462,66.39093834104584,6246.513975348587,7221.862051951226,8323.209519624066,9556.680369396321,0.0,0.0,2061.2044025985706,2157.7697265110346,2167.842625730041,2036.7647598555932,0.0,0.0
342,1002.8073968879823,66.31123734421189,6240.282817008182,7217.288026952446,8320.84694197591,9557.123441740096,0.0,0.0,2059.18652697521,2156.8040346654725,2167.9651402586214,2037.764114761125,0.0,0.0
343,1002.8140306644304,66.23163202683446,6234.067847293299,7212.726534233635,8318.493872754983,9557.573802504667,0.0,0.0,2057.160558511837,2155.8281713897554,2168.0774627648357,2038.755617898966,0.0,0.0
344,1002.8206564771624,66.15212227405227,6227.86900495999,7208.177527929731,8316.150280037275,9558.031433068156,0.0,0.0,2055.1265906724643,2154.84221321771,2168.1796453903107,2039.7392955694559,0.0,0.0
345,1002.8272743357383,66.07270797114192,6221.686229064775,7203.640962385224,8313.81613202684,9558.496314868742,0.0,0.0,2053.084716248957,2153.8462362478595,2168.271740048563,2040.7151739889039,0.0,0.0
346,1002.8338842497069,65.99338900351775,6215.519458962829,7199.116792153036,8311.49139705522,9558.968429404442,0.0,0.0,2051.0350273656686,2152.84031614586,2168.353798426019,2041.6832792898824,0.0,0.0
347,1002.8404862286058,65.91416525673164,6209.368634306182,7194.604971993407,8309.176043580877,9559.447758232902,0.0,0.0,2048.9776154840624,2151.824528146942,2168.4258719830354,2042.6436375215192,0.0,0.0
348,1002.8470802819606,65.83503661647283,6203.233695041917,7190.105456872788,8306.870040188605,9559.934282971175,0.0,0.0,2046.9125714073214,2150.7989470583334,2168.488011954916,2043.5962746497898,0.0,0.0
